#idx, x0, x1, x2, y, f_neval, total_time (us)
543, 71.409674, 660.711185, 39.947872, 0.052505, 6428, 4599.0
544, 70.760682, 661.908075, 41.202827, 0.077589, 6432, 4678.0
545, 70.253579, 663.157482, 38.272509, 0.065947, 6430, 4573.0
546, 73.583427, 662.193675, 29.188487, 0.080096, 6431, 4588.0
547, 72.447276, 660.668156, 37.157900, 0.054592, 6413, 4656.0
548, 69.484845, 661.782773, 40.097004, 0.117093, 6427, 4677.0
549, 72.698858, 660.626398, 39.658382, 0.060053, 6406, 4564.0
550, 73.180285, 660.492190, 37.229104, 0.077885, 6386, 4622.0
551, 70.691614, 661.360165, 40.406390, 0.049148, 6424, 4575.0
552, 66.622542, 662.768854, 42.255532, 0.339435, 6432, 4572.0
553, 76.323733, 660.671968, 34.867080, 0.081474, 6344, 4570.0
554, 71.965110, 659.957037, 36.460501, 0.072635, 6391, 4535.0
555, 69.994126, 661.389393, 37.134740, 0.044042, 6431, 4604.0
556, 69.045144, 661.878370, 38.134633, 0.110194, 6428, 4811.0
557, 70.976557, 660.978255, 41.069581, 0.092956, 6424, 4582.0
558, 71.425101, 660.853533, 41.026762, 0.027329, 6416, 4581.0
559, 73.870879, 660.208158, 39.291783, 0.064586, 6388, 4654.0
560, 76.218744, 660.167487, 34.396495, 0.100782, 6371, 4542.0
561, 73.198061, 662.651039, 36.699149, 0.057181, 6408, 4598.0
562, 67.696604, 662.964651, 39.579231, 0.077135, 6428, 4569.0
563, 68.095930, 663.251947, 39.392267, 0.153813, 6427, 4567.0
564, 73.705150, 662.024805, 33.288519, 0.066773, 6408, 4561.0
565, 76.484696, 659.263610, 30.504909, 0.051618, 6383, 4543.0
566, 71.139388, 661.459415, 40.509577, 0.092255, 6402, 4641.0
567, 70.851684, 662.008757, 36.626969, 0.054263, 6425, 4573.0
568, 71.300775, 662.636642, 38.792453, 0.070920, 6403, 4576.0
569, 72.263926, 660.242516, 44.566705, 0.086483, 6380, 4608.0
570, 77.398208, 661.044041, 24.284431, 0.048768, 6365, 4595.0
571, 71.932182, 661.052043, 40.478274, 0.055793, 6410, 4670.0
572, 71.546784, 662.920315, 38.442552, 0.060721, 6431, 4640.0
573, 69.113250, 662.099315, 42.460633, 0.106586, 6429, 4591.0
574, 71.989914, 661.299046, 37.971257, 0.053737, 6407, 4619.0
575, 74.354865, 660.744310, 34.613761, 0.046250, 6403, 4605.0
576, 72.036771, 661.441596, 40.609004, 0.042460, 6401, 4572.0
577, 71.650584, 661.235586, 40.139962, 0.070364, 6405, 4589.0
578, 70.398468, 660.975642, 40.457782, 0.078096, 6432, 4648.0
579, 74.882012, 660.989003, 30.320792, 0.022185, 6383, 4537.0
580, 76.733873, 659.914911, 31.614718, 0.069593, 6365, 4527.0
